시군구,코드,세션,C1,서버 이벤트,C2,서버 총량,서버 사용량,서버 가용량,서버 PID,C4,서버 OCI,C5,서버 로그레벨,C6,웹 이벤트,C8,웹 총량,웹 사용량,웹 가용량,웹 PID,C10,웹 로그레벨,C11,특이사항,서버 점검일,이름,연락처,웹 점검일,서버 재기동,웹 재기동
경상북도 청도군,47820,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 고령군,47830,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 성주군,47840,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 칠곡군,47850,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 예천군,47900,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 봉화군,47920,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 울진군,47930,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 울릉군,47940,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 본청,48000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 창원시,48120,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 진주시,48170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 통영시,48220,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 사천시,48240,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 김해시,48250,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 밀양시,48270,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 거제시,48310,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 양산시,48330,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 의령군,48720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 함안군,48730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 창녕군,48740,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 고성군,48820,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 남해군,48840,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 하동군,48850,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 산청군,48860,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 함양군,48870,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 거창군,48880,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상남도 합천군,48890,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
제주특별자치도 본청,50000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
제주특별자치도 제주시,50110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
제주특별자치도 서귀포시,50130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
